label -> error: 0.0035744486	CV error: 0.0031293526	epochs: 229000 / 1000000
label -> error: 0.0037805086	CV error: 0.0042491164	epochs: 230000 / 1000000
label -> error: 0.0032128305	CV error: 0.004054184	epochs: 231000 / 1000000
label -> error: 0.0032078333	CV error: 0.0030431997	epochs: 232000 / 1000000
label -> error: 0.0035858853	CV error: 0.0031797546	epochs: 233000 / 1000000
label -> error: 0.0040006563	CV error: 0.003811366	epochs: 234000 / 1000000
label -> error: 0.0036490206	CV error: 0.003235397	epochs: 235000 / 1000000
label -> error: 0.0028761725	CV error: 0.0037357206	epochs: 236000 / 1000000
label -> error: 0.0028591515	CV error: 0.0027104302	epochs: 237000 / 1000000
label -> error: 0.0042694993	CV error: 0.003774119	epochs: 238000 / 1000000
label -> error: 0.00296845	CV error: 0.0032762482	epochs: 239000 / 1000000
label -> error: 0.0038770356	CV error: 0.0030891467	epochs: 240000 / 1000000
label -> error: 0.0028440421	CV error: 0.0035268154	epochs: 241000 / 1000000
label -> error: 0.0033017653	CV error: 0.0031465446	epochs: 242000 / 1000000
label -> error: 0.0039487993	CV error: 0.002876259	epochs: 243000 / 1000000
label -> error: 0.003173221	CV error: 0.0033292887	epochs: 244000 / 1000000
label -> error: 0.0040909373	CV error: 0.0031393273	epochs: 245000 / 1000000
label -> error: 0.0029629671	CV error: 0.0033591164	epochs: 246000 / 1000000
label -> error: 0.004077376	CV error: 0.0026894242	epochs: 247000 / 1000000
label -> error: 0.0035414356	CV error: 0.0035532287	epochs: 248000 / 1000000
label -> error: 0.0032380186	CV error: 0.002652102	epochs: 249000 / 1000000
label -> error: 0.003446903	CV error: 0.0034946853	epochs: 250000 / 1000000
label -> error: 0.003007904	CV error: 0.0027066756	epochs: 251000 / 1000000
label -> error: 0.0031285384	CV error: 0.003614045	epochs: 252000 / 1000000
label -> error: 0.0037180942	CV error: 0.0025657185	epochs: 253000 / 1000000
label -> error: 0.0028166093	CV error: 0.003612037	epochs: 254000 / 1000000
label -> error: 0.002703356	CV error: 0.0039882087	epochs: 255000 / 1000000
label -> error: 0.0033330936	CV error: 0.0035767008	epochs: 256000 / 1000000
label -> error: 0.0031938804	CV error: 0.0034966434	epochs: 257000 / 1000000
label -> error: 0.002859002	CV error: 0.0036138433	epochs: 258000 / 1000000
label -> error: 0.0034500298	CV error: 0.00368536	epochs: 259000 / 1000000
label -> error: 0.0030934985	CV error: 0.003164187	epochs: 260000 / 1000000
label -> error: 0.0033881376	CV error: 0.002392318	epochs: 261000 / 1000000
label -> error: 0.0024416388	CV error: 0.0028139139	epochs: 262000 / 1000000
label -> error: 0.0036350796	CV error: 0.0029879366	epochs: 263000 / 1000000
label -> error: 0.0031627365	CV error: 0.0027262238	epochs: 264000 / 1000000
label -> error: 0.0034314338	CV error: 0.004102262	epochs: 265000 / 1000000
label -> error: 0.0037326692	CV error: 0.00316458	epochs: 266000 / 1000000
label -> error: 0.003769195	CV error: 0.0027657964	epochs: 267000 / 1000000
label -> error: 0.003254761	CV error: 0.0039075185	epochs: 268000 / 1000000
label -> error: 0.0037566877	CV error: 0.003599584	epochs: 269000 / 1000000
label -> error: 0.0033402822	CV error: 0.002449302	epochs: 270000 / 1000000
label -> error: 0.0032800406	CV error: 0.0035786792	epochs: 271000 / 1000000
label -> error: 0.0035510564	CV error: 0.003494055	epochs: 272000 / 1000000
label -> error: 0.003462157	CV error: 0.0031924958	epochs: 273000 / 1000000
label -> error: 0.0028231542	CV error: 0.0041944664	epochs: 274000 / 1000000
label -> error: 0.003916423	CV error: 0.003493084	epochs: 275000 / 1000000
label -> error: 0.0031613447	CV error: 0.002822447	epochs: 276000 / 1000000
label -> error: 0.0036915562	CV error: 0.0035872664	epochs: 277000 / 1000000
label -> error: 0.0029858006	CV error: 0.0038916345	epochs: 278000 / 1000000
label -> error: 0.0030601788	CV error: 0.0037151827	epochs: 279000 / 1000000
label -> error: 0.0028300588	CV error: 0.0039751693	epochs: 280000 / 1000000
label -> error: 0.0028973226	CV error: 0.0037318026	epochs: 281000 / 1000000
label -> error: 0.0030560486	CV error: 0.0036124918	epochs: 282000 / 1000000
label -> error: 0.0035126312	CV error: 0.0030793145	epochs: 283000 / 1000000
label -> error: 0.002947466	CV error: 0.003321884	epochs: 284000 / 1000000
label -> error: 0.00298451	CV error: 0.003541009	epochs: 285000 / 1000000
label -> error: 0.0031622301	CV error: 0.0029735616	epochs: 286000 / 1000000
label -> error: 0.0038214952	CV error: 0.0037826782	epochs: 287000 / 1000000
label -> error: 0.003202407	CV error: 0.0030221026	epochs: 288000 / 1000000
label -> error: 0.0031905142	CV error: 0.0033072592	epochs: 289000 / 1000000
label -> error: 0.0032860085	CV error: 0.003457168	epochs: 290000 / 1000000
label -> error: 0.0034869546	CV error: 0.0030621344	epochs: 291000 / 1000000
label -> error: 0.0038615286	CV error: 0.003258758	epochs: 292000 / 1000000
label -> error: 0.0029049625	CV error: 0.0026076823	epochs: 293000 / 1000000
label -> error: 0.0030745934	CV error: 0.0038525693	epochs: 294000 / 1000000
label -> error: 0.0033750685	CV error: 0.0037126548	epochs: 295000 / 1000000
label -> error: 0.0033356377	CV error: 0.0034793084	epochs: 296000 / 1000000
label -> error: 0.0035903833	CV error: 0.0022202325	epochs: 297000 / 1000000
label -> error: 0.003375082	CV error: 0.00316835	epochs: 298000 / 1000000
label -> error: 0.0030964012	CV error: 0.0031018124	epochs: 299000 / 1000000
label -> error: 0.0030052634	CV error: 0.0038750865	epochs: 300000 / 1000000
label -> error: 0.0030590012	CV error: 0.003934418	epochs: 301000 / 1000000
label -> error: 0.0035928162	CV error: 0.0028819349	epochs: 302000 / 1000000
label -> error: 0.0028592343	CV error: 0.0029034056	epochs: 303000 / 1000000
label -> error: 0.00319548	CV error: 0.0034091654	epochs: 304000 / 1000000
label -> error: 0.0032185176	CV error: 0.0038917472	epochs: 305000 / 1000000
label -> error: 0.0034731405	CV error: 0.0033269175	epochs: 306000 / 1000000
label -> error: 0.0031809986	CV error: 0.0029586314	epochs: 307000 / 1000000
label -> error: 0.003369191	CV error: 0.003126415	epochs: 308000 / 1000000
label -> error: 0.003070725	CV error: 0.004171135	epochs: 309000 / 1000000
label -> error: 0.0038693696	CV error: 0.0038745084	epochs: 310000 / 1000000
label -> error: 0.0034399263	CV error: 0.003634479	epochs: 311000 / 1000000
label -> error: 0.0034120916	CV error: 0.003465014	epochs: 312000 / 1000000
label -> error: 0.0028156568	CV error: 0.0030855483	epochs: 313000 / 1000000
label -> error: 0.0037562845	CV error: 0.002845719	epochs: 314000 / 1000000
label -> error: 0.003314908	CV error: 0.0033272686	epochs: 315000 / 1000000
label -> error: 0.0032485097	CV error: 0.0027294452	epochs: 316000 / 1000000
label -> error: 0.0028545873	CV error: 0.0033519529	epochs: 317000 / 1000000
label -> error: 0.0035582546	CV error: 0.0027139885	epochs: 318000 / 1000000
label -> error: 0.003757481	CV error: 0.003284653	epochs: 319000 / 1000000
label -> error: 0.0027256263	CV error: 0.0037893127	epochs: 320000 / 1000000
label -> error: 0.0034384227	CV error: 0.0030247653	epochs: 321000 / 1000000
label -> error: 0.0031005486	CV error: 0.0034130327	epochs: 322000 / 1000000
label -> error: 0.00300739	CV error: 0.0034969656	epochs: 323000 / 1000000
label -> error: 0.003743972	CV error: 0.003048892	epochs: 324000 / 1000000
label -> error: 0.0025155374	CV error: 0.003815474	epochs: 325000 / 1000000
