Images loaded
Labels loaded
Classes loaded
image input size: 75
label input size: 34
start training
labels: 9.184779E-4	images: 0.0041293367	combi: 0.032505687	epochs: 200000 / 1000000
labels: 0.0015886718	images: 0.004148557	combi: 0.032253314	epochs: 201000 / 1000000
labels: 0.0018340375	images: 0.0042713005	combi: 0.032176215	epochs: 202000 / 1000000
labels: 0.0020513728	images: 0.0042023268	combi: 0.0321661	epochs: 203000 / 1000000
labels: 7.611342E-5	images: 0.004133729	combi: 0.03244386	epochs: 204000 / 1000000
labels: 9.1908517E-4	images: 0.0043663895	combi: 0.03232449	epochs: 205000 / 1000000
labels: 5.628278E-5	images: 0.004240885	combi: 0.032125466	epochs: 206000 / 1000000
labels: 9.201918E-4	images: 0.0041219764	combi: 0.032238927	epochs: 207000 / 1000000
labels: 0.002426163	images: 0.0040888772	combi: 0.032542355	epochs: 208000 / 1000000
labels: 0.001835231	images: 0.004057015	combi: 0.032502554	epochs: 209000 / 1000000
labels: 0.0015881142	images: 0.004179781	combi: 0.032534055	epochs: 210000 / 1000000
labels: 0.001299049	images: 0.0043436196	combi: 0.032378353	epochs: 211000 / 1000000
labels: 0.0015890211	images: 0.0042790147	combi: 0.032726735	epochs: 212000 / 1000000
labels: 0.0012983398	images: 0.0042079403	combi: 0.032264713	epochs: 213000 / 1000000
labels: 0.0012980839	images: 0.004385657	combi: 0.032534413	epochs: 214000 / 1000000
labels: 0.0020507693	images: 0.0042041857	combi: 0.0326791	epochs: 215000 / 1000000
labels: 9.190677E-4	images: 0.004286627	combi: 0.032382272	epochs: 216000 / 1000000
labels: 0.0012974028	images: 0.004076044	combi: 0.032544512	epochs: 217000 / 1000000
labels: 0.00242566	images: 0.004334872	combi: 0.032154426	epochs: 218000 / 1000000
labels: 0.0012975333	images: 0.0042624543	combi: 0.032430254	epochs: 219000 / 1000000
labels: 0.0015880584	images: 0.00433621	combi: 0.032255452	epochs: 220000 / 1000000
labels: 0.0020501341	images: 0.004074058	combi: 0.03256698	epochs: 221000 / 1000000
labels: 0.0018342306	images: 0.0041580778	combi: 0.032463606	epochs: 222000 / 1000000
labels: 0.0015887293	images: 0.004210935	combi: 0.032482658	epochs: 223000 / 1000000
labels: 0.001589984	images: 0.0040471107	combi: 0.032583427	epochs: 224000 / 1000000
labels: 0.0012974067	images: 0.004049658	combi: 0.032160904	epochs: 225000 / 1000000
labels: 0.0018346804	images: 0.0043849736	combi: 0.032426782	epochs: 226000 / 1000000
labels: 9.2018204E-4	images: 0.004342832	combi: 0.032827754	epochs: 227000 / 1000000
labels: 0.002051161	images: 0.0042178705	combi: 0.033049393	epochs: 228000 / 1000000
labels: 0.0018334275	images: 0.0042998395	combi: 0.032260068	epochs: 229000 / 1000000
labels: 0.0015882688	images: 0.004325935	combi: 0.032653306	epochs: 230000 / 1000000
labels: 0.0018340212	images: 0.004187883	combi: 0.03238438	epochs: 231000 / 1000000
labels: 0.0012973056	images: 0.0044003744	combi: 0.032698046	epochs: 232000 / 1000000
labels: 0.0012976619	images: 0.004403141	combi: 0.032350656	epochs: 233000 / 1000000
labels: 0.002426036	images: 0.0043289126	combi: 0.032336023	epochs: 234000 / 1000000
labels: 0.0022461924	images: 0.004100499	combi: 0.03230589	epochs: 235000 / 1000000
labels: 0.001588599	images: 0.004402201	combi: 0.03301131	epochs: 236000 / 1000000
labels: 0.0018346634	images: 0.0038781306	combi: 0.03274009	epochs: 237000 / 1000000
labels: 9.183661E-4	images: 0.0041391053	combi: 0.03273205	epochs: 238000 / 1000000
labels: 0.0018339085	images: 0.004070786	combi: 0.032414246	epochs: 239000 / 1000000
labels: 0.0020504533	images: 0.004327001	combi: 0.03301875	epochs: 240000 / 1000000
labels: 0.00158893	images: 0.0042057247	combi: 0.03281907	epochs: 241000 / 1000000
labels: 0.0015884918	images: 0.0043388214	combi: 0.032674093	epochs: 242000 / 1000000
labels: 0.0012974436	images: 0.0043662954	combi: 0.032438472	epochs: 243000 / 1000000
labels: 0.0012970917	images: 0.004400668	combi: 0.03264676	epochs: 244000 / 1000000
labels: 0.0020501667	images: 0.00444909	combi: 0.032315575	epochs: 245000 / 1000000
labels: 0.0020501728	images: 0.0040763803	combi: 0.0329653	epochs: 246000 / 1000000
labels: 0.0015885531	images: 0.004095406	combi: 0.032696884	epochs: 247000 / 1000000
labels: 0.0012985375	images: 0.0043754023	combi: 0.0326396	epochs: 248000 / 1000000
labels: 0.0015888516	images: 0.004407158	combi: 0.032840047	epochs: 249000 / 1000000
labels: 0.0018340301	images: 0.0042443923	combi: 0.03244378	epochs: 250000 / 1000000
labels: 0.0022457272	images: 0.0042245537	combi: 0.032839205	epochs: 251000 / 1000000
labels: 0.0018339239	images: 0.004401554	combi: 0.032502055	epochs: 252000 / 1000000
labels: 9.1710355E-4	images: 0.0040101483	combi: 0.032620475	epochs: 253000 / 1000000
labels: 0.0025928635	images: 0.0045404085	combi: 0.032889858	epochs: 254000 / 1000000
labels: 0.0015882959	images: 0.003976431	combi: 0.032402202	epochs: 255000 / 1000000
labels: 0.0012970112	images: 0.004374421	combi: 0.032622423	epochs: 256000 / 1000000
labels: 0.0022457447	images: 0.0044091814	combi: 0.033009782	epochs: 257000 / 1000000
labels: 0.0015884092	images: 0.0042304574	combi: 0.03321587	epochs: 258000 / 1000000
labels: 0.0020502943	images: 0.0043054586	combi: 0.033016402	epochs: 259000 / 1000000
